15.75,66,18,6,5,7,9,8,5,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.25,127,57,20,18,23,30,29,19,11,8,5,3,4,4,4,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16.75,226,173,68,61,79,103,99,66,40,27,17,11,12,12,11,10,8,9,10,7,3,1,0,0,1,0,0,0,0,0
17.25,363,457,221,203,263,342,333,224,139,94,60,36,39,36,32,27,20,21,22,17,11,7,2,0,3,2,1,0,0,0
17.75,526,998,643,627,810,1055,1045,723,465,321,206,124,125,108,90,71,49,47,46,33,21,14,7,4,6,4,2,1,1,0
18.25,706,1780,1568,1682,2162,2810,2864,2094,1441,1029,683,412,385,313,245,181,118,104,94,62,39,23,12,8,9,6,3,2,1,0
18.75,911,2684,3085,3685,4714,6040,6352,5052,3840,2912,2048,1282,1108,848,626,441,274,220,183,115,67,38,20,12,12,7,4,2,1,1
19.25,1153,3654,4992,6494,8315,10432,11236,9783,8265,6776,5168,3481,2794,2042,1447,981,592,435,336,202,114,62,31,18,17,10,5,3,1,1
19.75,1448,4735,7070,9655,12424,15345,16759,15608,14240,12548,10424,7651,5864,4188,2903,1933,1157,790,576,336,184,97,46,25,23,13,7,3,2,1
20.25,1811,6015,9337,13036,16832,20625,22685,21912,20832,19231,17018,13364,10129,7237,5008,3331,2012,1312,916,528,285,148,69,36,32,17,8,4,2,1
20.75,2257,7582,11965,16858,21789,26601,29364,28848,27951,26390,24146,19717,15045,10881,7607,5111,3142,2001,1362,784,423,217,100,51,43,23,11,5,2,1
21.25,2799,9531,15159,21438,27696,33745,37335,36983,36173,34474,31993,26624,20484,14992,10610,7219,4519,2849,1916,1109,601,308,141,72,58,30,14,6,3,1
21.75,3447,11968,19124,27097,34967,42544,47155,46950,46203,44210,41260,34647,26789,19759,14114,9704,6162,3866,2588,1512,827,426,196,98,77,40,18,8,3,1
22.25,4199,15021,24094,34179,44040,53516,59419,59408,58764,56351,52713,44486,34471,25534,18353,12714,8149,5086,3402,2005,1108,575,266,133,103,52,23,10,4,2
22.75,5023,18851,30342,43084,55423,67264,74816,75104,74667,71713,67164,56878,44101,32743,23633,16457,10608,6567,4393,2610,1455,761,357,179,135,68,30,13,5,2
23.25,5828,23656,38207,54302,69731,84522,94186,94941,94887,91265,85543,72660,56330,41877,30321,21194,13703,8393,5614,3356,1886,994,471,237,177,88,38,16,6,2
23.75,6398,29684,48114,68447,87731,106199,118571,120048,120646,116217,109003,92853,71948,53533,38864,27250,17647,10664,7129,4280,2419,1283,615,311,230,115,49,20,7,2
24.25,6238,37246,60596,86287,110383,133435,149283,151847,153502,148106,138997,118749,91950,68459,49827,35033,22705,13510,9021,5433,3084,1643,796,405,267,0,56,22,8,3
24.75,6238,37246,60596,86287,110383,133435,149283,151847,153502,148106,138997,118749,91950,68459,49827,35033,22705,13510,9021,5433,3084,1643,796,405,267,0,56,22,8,3
